,Date,Year,Type,Country,Area,Location,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species 
2411,09-Dec-1994,1994.0,Unprovoked,USA,California,"San Miguel Island, Santa Barbara County",Commercial diver (submerged or treading water),M,42,"FATAL, right leg nearly severed, puncture wounds to left leg ",Y,08h45,5 m to 5.5 m [16.5' to 18'] white shark
2414,13-Nov-1994,1994.0,Unprovoked,USA,Hawaii,"Off the Hanalei River, Kaua'i","Surfing, paddling seawards",F,34,Right thigh & board bitten,N,09h45,2.7 m [9'] shark
2415,06-Nov-1994,1994.0,Unprovoked,USA,Hawaii,"Kealia Beach, Kaua'i",Surfing,,,"No injury, shark bit surfboard",N,16h00,
2418,09-Oct-1994,1994.0,Provoked,USA,Florida,"Bill Baggs Cape Florida State Recreation Area, Miami-Dade County",Wading,F,9,Ankle bitten when she accidently stepped on the shark  PROVOKED INCIDENT,N,13h00,Thought to involve a small sand shark
2419,05-Oct-1994,1994.0,Unprovoked,USA,Florida,"Indialantic, Brevard County",Surfing,M,16,Foot bitten,N,12h00,
2420,26-Sep-1994,1994.0,Unprovoked,USA,South Carolina,"North Forest Beach, near Hilton Head, Beaufort County",Swimming,F,30,Right side of abdomen & left hand bitten,N,,
2421,21-Sep-1994,1994.0,Unprovoked,USA,Oregon,"Short Sand Beach, Oswald West State Park",Surfing,M,43,"No injury, surfboard bitten",N,16h30,5 m [16.5'] white shark
2422,Reported 11-Sep-1994,1994.0,Sea Disaster,USA,Florida,Florida Straits,Adrift on refugee raft,M,7      &    31,FATAL,Y,,
2423,05-Sep-1994,1994.0,Unprovoked,USA,Hawaii,Makaha Surf Beach,Jumped off rocks into white water,F,12,Left calf bitten,N,11h15,Small shark
2431,08-Jul-1994,1994.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,Right calf lacerated,N,15h00,"""small shark"""
2433,31-May-1994,1994.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,24,Foot lacerated,N,10h30,
2434,31-May-1994,1994.0,Unprovoked,USA,Florida," Daytona Beach, Volusia County",Surfing,M, 28,Right foot lacerated,N,08h00,1.2 m [4'] spinner shark
2435,28-May-1994,1994.0,Unprovoked,USA,Florida,"3 miles east of Jacksonville Beach, Duval County",Spearfishing,M,35,Shoulder bitten,N,,2.1 m [7'] shark
2436,24-May-1994,1994.0,Unprovoked,USA,Florida,"Spessard Holland Park, Melbourne Beach, Brevard County",Wading,F,36,Lower left calf & ankle  lacerated,N,,1.2 m [4'] shark
2437,23-May-1994,1994.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,26,Gash on ankle,N,Afternoon,
2438,15-May-1994,1994.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,22,Right knee lacerated,N,08h30,>1.8 m [6'] shark
2439,Reported 16-Apr-1994,1994.0,Invalid,USA,California,"Sunset Cliffs, San Diego, San Diego County",,F,25,Not a shark attack; possibly murder. Body recovered 4-16-1994 minus severed leg. Blue shark bites were post-mortem,Unknown,,Invalid
2442,03-Apr-1994,1994.0,Unprovoked,USA,Florida,"Miami Beach, Dade County",Freediving for seashells,M,71,Left shoulder lacerated,N,15h00,
2446,07-Mar-1994,1994.0,Provoked,USA,California,,Removing shark from tank in nightclub ,M,33,Arm lacerated by captive shark PROVOKED INCIDENT,N,,"Lemon shark, 4' "
2449,19-Feb-1994,1994.0,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing,M,23,Left foot bitten,N,13h00,1.2 m [4'] shark
2450,13-Feb-1994,1994.0,Provoked,USA,Hawaii,Kailua Bay,Fishing,M,,Arm bitten while trying to secure shark caught by navy personnel from vessel PROVOKED INCIDENT,N,17h00,
2454,31-Jan-1994,1994.0,Unprovoked,USA,Hawaii,"Velzyland, north shore of O'ahu",Surfing,M,,FATAL,Y,,Tiger shark
2460,1994,1994.0,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Surfing,M,,Foot bitten,N,,
2461,Dec-1993,1993.0,Unprovoked,USA,Hawaii,Waipo,Surfing,M,,FATAL,Y,,"On 11-Jan-1994, his remains washed ashore. A 2.4 m [8'] tiger shark thought to be involved"
2462,28-Nov-1993,1993.0,Unprovoked,USA,Florida,"North Beach Jetty, St Lucie County",Swimming,M,30,"""Minor cuts to left leg""",N,,
2464,12-Nov-1993,1993.0,Unprovoked,USA,Hawaii,"Horners, Wailua, Kaua'i","Surfing, paddling shorewards",M,,Left leg severely bitten,N,10h55,
2466,30-Oct-1993,1993.0,Unprovoked,USA,California,"""Bunkers"" Eureka, Humboldt County",Surfing,M,26,Serious injury to left leg,N,16h30,4 m to 5 m [13' to 16.5'] white shark
2467,26-Oct-1993,1993.0,Unprovoked,USA,Florida,"Treasure Shores Beach, Indian River County",Swimming,F,26,Thigh & hand lacerated,N,10h00,3 m [10'] bull shark
2468,10-Oct-1993,1993.0,Boating,USA,California,"Goat Rock, Bodega Bay, Sonoma County?",Kayaking,F,34,"No Injury, Kayak holed",N,14h30,>6 m [20'] white shark
2469,Oct-1993,1993.0,Unprovoked,USA,Hawaii,"Mouth of Wallua River, Kaua'i",Surfing,,,Serious leg wounds,N,,Tiger shark
2474,14-Sep-1993,1993.0,Unprovoked,USA,Florida,"Huguenot Memorial Park, Duval County",Wading,M,19,Left foot bitten,N,,3' shark
2475,09-Sep-1993,1993.0,Unprovoked,USA,Florida,"Little Talbot Island, Jacksonville, Duval County",,M,16,Left foot bitten,N,,
2478,Reported      19-Aug-1993,1993.0,Unprovoked,USA,Florida,"Bethune Beach, Volusia County",Surfing,,13,Right foot bitten,N,,
2479, 19-Aug-1993,1993.0,Unprovoked,USA,Hawaii,"Paukukalo, Maui","Surfing, paddling seawards",M,,Abrasions & board bitten,N,07h05,
2480,15-Aug-1993,1993.0,Boat,USA,California,Between Santa Cruz Island and Santa Barbara,Watching the shark feeding on a dead pinniped,,,No injury to occupants; shark circled boat repeatedly then rammed the vessel 3 times,N,11h30,">6 m white shark, according to witnesses"
2481,15-Aug-1993,1993.0,Unprovoked,USA,North Carolina,Pamlico Sound,Riding floatation device,F,19,Severe lacerations to abdomen & thighs,N,10h00,Bull shark
2483,12-Aug-1993,1993.0,Unprovoked,USA,California,"Abalone Point, Westport Union Landing, Mendocino County",Free diving for abalone (ascending),M,39,Severe bites to head & shoulder,N,14h00,5.5 m to 6 m [18' to 20']  white shark
2487,07-Jul-1993,1993.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Playing,F,12,Right knee bitten,N,18h12,"1.8 m to 2.4 m [6' to 8'] shark, tooth fragments recovered "
2492,10-Jun-1993,1993.0,Unprovoked,USA,Hawaii,"Goats Island (Mokuauia Island), Malaekahana State Recreation Area, Laie, O'ahu",Paddling on surfboard or body board,M,22,Feet & ankles bitten,N,07h10,Thought to involve a tiger shark
2496,Jun-1993,1993.0,Unprovoked,USA,North Carolina,"Hamstead, Pender County",Swimming,F,60's,"No injury, bumped by shark",N,Dusk,6' shark
2501,22-Mar-1993,1993.0,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Floating on his back,M,25,Both feet lacerated,N,16h00,
2503,14-Mar-1993,1993.0,Unprovoked,USA,Hawaii,"Paradise Bay (next to Wailua Bay), Maui",Paddling on surfboard,M,35,Lower legs lacerated ,N,15h45,"Tiger shark, 3.7 m [12'], (tooth fragment recovered from wound)"
2504,12-Mar-1993,1993.0,Unprovoked,USA,California,"Linda Mar Beach, Pedro Point, San Mateo County",Free diving & spearfishing (ascending),M,55,"No injury, swim fin bitten",N,14h30,White shark
2512,02-Jan-1993,1993.0,Unprovoked,USA,Oregon,"Bastendorf Beach, Coos County",Surfing,M,29,"No injury, shark bit board",N,16h30,6 m [20'] white shark
2516,1993,1993.0,Unprovoked,USA,Florida,"Key West, Monroe County",Snorkeling,,,Survived,N,,Lemon shark
2517,28-Dec-1992,1992.0,Unprovoked,USA,Hawaii,"Honomuni, Moloka'i","Standing in waist-deep water, helping his father tend a gill net containing dead fish",M,10,Right leg bruised & abraded,N,A.M.,"Tiger shark, 2.4 m [8']"
2518,23-Dec-1992,1992.0,Unprovoked,USA,Hawaii,"Chun's Reef, Laniakea, O'ahu",Lying on surfboard,M,30,"Minor lacerations to hand, 15"" crescent-shaped piece removed from surfboard",N,17h30,"Tiger shark, 3 m to 4.9 m [10' to 16'] "
2519,29-Nov-1992,1992.0,Unprovoked,USA,California,"San Onofre, San Diego County ",Spearfishing / free diving,M,31,10 puncture wounds to right calf,N,15h30,"Mako shark, 1.8 m [6']  "
2520,25-Nov-1992,1992.0,Unprovoked,USA,Florida,"Brevard County, a mile north of Sebastian Inlet",Surfing,M,19,Forearm  & hand bitten; tooth fragments of the shark were recovered from the surfer's hand,N,07h30,6' to 7' blacktip shark
2521,23-Nov-1992,1992.0,Unprovoked,USA,Florida,,Surfing,M,24,Right ankle bitten,N,13h00,1.8 m [6'] shark
2522,14-Nov-1992,1992.0,Boating,USA,California,"Ano Nuevo, San Mateo County",Kayaking,M,46,"No injury, kayak bitten",N,12h50,5 m to 6 m white shark
2524,11-Nov-1992,1992.0,Unprovoked,USA,California,"San Nicholas Island, Santa Barbara County",Scuba diving (submerged),M,40,Foot punctured,N,14h00,Unidentified shark
2525,06-Nov-1992,1992.0,Unprovoked,USA,Florida,"North Jetty Park, Fort Pierce, St Lucie County",Surfing,M,17,Heel bitten,N,14h15,
2526,05-Nov-1992,1992.0,Unprovoked,USA,Hawaii,"Kea'au Beach Park, O'ahu",Body boarding,M,18,Right leg severely lacerated  FATAL,Y,09h45,"Tiger shark, 3 m to 3.7 m [10' to 12'] "
2527,29-Oct-1992,1992.0,Unprovoked,USA,California,"Castle Rock, San Miguel Island, Santa Barbara County",Hookah diving for sea urchins,M,40,Foot & swim fin punctured,N,11h00,2.5 m [8.25'] white shark
2528,22-Oct-1992,1992.0,Unprovoked,USA,Hawaii,"Lanaikea, O'ahu",Surfing,M,28,"Chest & arm bruised & scratched, 15"" crescent-shaped piece removed from board",N,07h40,"Tiger shark, 4.3 m [14'] "
2533,13-Sep-1992,1992.0,Unprovoked,USA,Oregon,"Gold Beach, Curry County",Surfing,M,20,Minor bruises,N,17h00,4 m to 5 m [13' to 16.5']  white shark 
2534,11-Sep-1992,1992.0,Unprovoked,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",Standing,F,18,Right ankle & calf bitten,N,15h00,
2536,Sep-1992,1992.0,Unprovoked,USA,Florida,St Lucie County,Surf fishing,M,,"Foot bitten, 8 stitches needed to repair the wound",N,,
2539,21-Aug-1992,1992.0,Invalid,USA,Hawaii,"Twin Arches, Hana Ranch, Maui",Fell from cliff while fishing & disappeared in strong current,M,,Body recovered next morning. Injuries appeared to be inflicted post mortem,Unknown,15h00,Questionable incident
2540,18-Aug-1992,1992.0,Unprovoked,USA,California,"Klamath River, Del Norte County",Surfing,M,22,"No injury, board bitten",N,17h00,5.5 m to 6 m [18' to 20'] white shark
2541,17-Aug-1992,1992.0,Provoked,USA,Florida,"Manalapan, Palm Beach County",Snorkeling,M,26,"Grabbed metal leader to shark, shark clamped on  & bit  left bicep PROVOKED INCIDENT",N,,"Nurse shark, 3', 20-lb "
2542,Aug-1992,1992.0,Invalid,USA,Florida,St. Lucie County,Fisherman,M,,No details,Unknown,,Questionable incident
2543,23-Jul-1992,1992.0,Invalid,USA,Hawaii,"Wai'anae, O'ahu","Zosimo & his son, Jeffrey Popa, failed to return from overnight fishing trip in a 14' boat, Boat apparently sank, debris recovered but his son & boat were never found",M,,"Death due to drowning. His body, tied to floating ice chest, had 2 small post-mortem bites due to cookie cutter shark",Unknown,,Invalid
2544,21-Jul-1992,1992.0,Unprovoked,USA,Florida,"Manasota Beach, Sarasota County",Standing,F,42,Lacerations to left foot,N,12h33,"""a small shark"""
2552,31-May-1992,1992.0,Invalid,USA,North Carolina ,Wreck of the U-352 ,Scuba diving ,M,45,Disappeared. His ripped dive jacket was recovered,Unknown,,Shark involvement prior to death was not confirmed
2557,28-Mar-1992,1992.0,Unprovoked,USA,Hawaii,"Cannons, at Ha'ena on the north shore of Kaua'i Island","Surfing, paddling seawards",F,36,"Foot bitten, crescent of bitemarks in both sides of board",N,>06h45,Tiger shark
2561,08-Mar-1992,1992.0,Unprovoked,USA,Oregon,"Winchester Bay, Douglas County",Surfing (sitting on his board),M,21,"Left shoulder & side bitten, board broken",N,09h45,Said to involve a 6 m to 7 m [20' to 23'] white shark
2562,19-Feb-1992,1992.0,Unprovoked,USA,Hawaii,"Leftovers, near Waimea Bay, O'ahu",Body boarding,M,,FATAL Disappeared. His board washed ashore next morning with crescent-shaped piece missing and serrated toothmarks of a shark,Y,Late afternoon,Tiger shark?
2573,04-Dec-1991,1991.0,Unprovoked,USA,California,"Shelter Cover, north of Fort Bragg, Shelter Cove, Mendocino County",Hookah diving for sea urchins,M,25,"No injury, shark became tangled in hose & towed him 100'",N,15h06,6 m [20'] white shark
2574,26-Nov-1991,1991.0,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,F,41,"FATAL, right leg at hip, left leg and right forearm severed  ",Y,09h00,"Tiger shark, 2.4 m 3.4 m [8' to 11']  "
2575,26-Nov-1991,1991.0,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,F,,Right calf abraded,N,09h00,"Tiger shark, 2.4 m 3.4 m [8' to 11']  "
2576,19-Nov-1991,1991.0,Unprovoked,USA,Hawaii,"Maliko Point, Maui","Fishing from rocks, swept out to sea by large wave & treading water",M,,"Body not recovered, shorts found indicating shark bite on left side",Y,16h30,"Tiger shark, 3.7 m [12'] "
2577,14-Nov-1991,1991.0,Provoked,USA,Florida,Near Port Canaveral Coast Guard Base,Fishing,M,,Hand bitten as he was cleaning hooked shark PROVOKED INCIDENT,N,12h54,2.4 m [8'] shark
2579,12-Oct-1991,1991.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,21,Right foot & ankle lacerated,N,08h30,1.8 m [6'] shark
2580,05-Oct-1991,1991.0,Unprovoked,USA,California,"Horseshoe Reef, Scott Creek, Davenport, Santa Cruz County",Surfing,M,32,"Arm, shoulder & back bitten",N,07h30,5 m to 6 m [16.5' to 20'] white shark
2584,26-Aug-1991,1991.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,23,Deep cuts on lower leg,N,13h30,sand shark
2585,12-Aug-1991,1991.0,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Wading,F,10,Bite to left thigh & calf,N,16h35,3' shark
2586,09-Aug-1991,1991.0,Provoked,USA,Florida,Florida Bay,Fishing,M,,Laceration to right forearm PROVOKED INCIDENT,N,,"Lemon shark, 30-lb "
2588,27-Jul-1991,1991.0,Unprovoked,USA,Florida,"John Pennekamp Marine Park, Monroe County",Snorkeling,M,39,Arm bitten,N,,"2.1 m [7'], 140-lb reef shark"
2589,18-Jul-1991,1991.0,Unprovoked,USA,Florida,150 miles from Crystal River,Swimming from makeshift raft  to life vest after fishing boat sank,M,42,Punctures in lower abdomen & groin ,N,,1.8 m [6'] blacktip shark
2590,07-Jul-1991,1991.0,Unprovoked,USA,Florida,"South Miami Beach, Dade County",Swimming,M,22,Arm bitten,N,18h45,
2592,01-Jul-1991,1991.0,Unprovoked,USA,California,"8.5 miles south of Ano Nuevo State Reserve, Davenport County",Surfing,M,32,"Forearm, upper thigh, knee & ankle lacerated",N,09h30,5 m [16.5'] white shark
2593,July 1991,1991.0,Unprovoked,USA,Virginia,"Croatan Beach, Virginia Beach, ",Boogie boarding,M,13,Severe laceration to foot,N,,Shark involvement not confirmed
2596,26-Jun-1991,1991.0,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Surfing,M,18,Hand bitten,N,17h30,
2597,07-Jun-1991,1991.0,Unprovoked,USA,Florida,"Tampa Bay, Hillsborough County",Swimming behind sailboat,M,31,"Left ankle, calf, thigh and abdomen bitten",N,11h30,2.7 m [9'] bull or lemon shark
2599,26-May-1991,1991.0,Unprovoked,USA,Hawaii,"Ma'ili Beach, O'ahu",Sitting on surfboard,M,23,Right calf bitten,N,16h45,2.4 m [8'] shark
2602,16-Apr-1991,1991.0,Provoked,USA,Maryland,Baltimore Aquarium,Diving,,,Minor injury by captive shark PROVOKED INCIDENT,N,09h55,7' female shark
2603,16-Apr-1991,1991.0,Unprovoked,USA,Florida,"South of Ponce Inlet, New Smyrna Beach, Volusia County","Surfing, collided with shark",M,22,Right thigh,N,11h00,1.2 m to 1.5 m [4' to 5'] shark
2604,03-Apr-1991,1991.0,Unprovoked,USA,Hawaii,"One'ula Beach Park, 'Ewa Beach, O'ahu",Sitting on surfboard,M,,Deep lacerations to calf & ankle,N,17h30,"""Shark had a very large girth"""
2606,24-Feb-1991,1991.0,Unprovoked,USA,Oregon,"Neskowin, Tillamook County",Surfing,M,38,Calf lacerated & board bitten,N,09h30,5.5 m [18'] white shark
2613,03-Nov-1990,1990.0,Unprovoked,USA,California,"Monastery Beach, Carmel Bay, Monterey County",Scuba diving (but on surface),F,,Leg bitten,N,15h00,4 m to 5 m [13' to 16.5'] white shark
2614,01-Nov-1990,1990.0,Unprovoked,USA,Florida,"Spanish River Park Beach, Palm Beach County",Surfing,M,24,"Ear, shoulder, arm, wrist & ear injured",N,09h30,5' shark
2615,30-Oct-1990,1990.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,50,"Hand & wrist bitten, tooth fragments in wound",N,16h55,1.8 m [6'] shark 
2616,30-Oct-1990,1990.0,Unprovoked,USA,Florida,"Indialantic, Brevard County",Surfing,M,18,Cuts on left foot ,N,15h30,
2619,20-Oct-1990,1990.0,Unprovoked,USA,Florida,"North end of County Beach, Palm Beach County",Surfing,M,25,Wrist bitten,N,16h00,4' spinner shark
2620,15-Oct-1990,1990.0,Unprovoked,USA,Hawaii,"Hanalei Point, Kaua'i",Surfing,M,43,"No Injury, board bitten",N,15h00,"Tiger shark, 3.7 m [12'] "
2621,12-Oct-1990,1990.0,Unprovoked,USA,Florida,"Stuart Beach, Martin County",Surfing,M,19,Superficial injuries to left foot & ankle,N,12h30,1.8 m to 2.4 m [6' to 8'] shark
2623,08-Sep-1990,1990.0,Unprovoked,USA,California,"Russian Gulch, Jenner, Sonoma County","Free diving / spearfishing, from paddleboard & floating on the surface",M,49,"Shark rammed & overturned paddleboard, knocking him into water & bit his head, lacerating his face & neck",N,13h00,White shark
2624,05-Sep-1990,1990.0,Boating,USA,California,"Trinidad State Beach, Humboldt County",Kayaking,M,44,"No injury, kayak capsized",N,17h00,2.5 m to 3 m [8.25' to 10']  white shark
2625,30-Aug-1990,1990.0,Invalid,USA,Florida,"Juno Beach / North Palm Beach, Palm Beach County",SCUBA diving,M,30,"Disappeared, body recovered with large bite on thigh",Unknown,,Shark involvement prior to death could not be determined
2626,28-Aug-1990,1990.0,Unprovoked,USA,California,"Trinidad Head, Humboldt County",Surfing,M,22,4 punctures on leg & board bitten,N,16h50,5 m to 6 m [16.5' to 20'] white shark
2627,19-Aug-1990,1990.0,Unprovoked,USA,Texas,"Mustang Island, Nueces County",Surfing,M,,Minor cuts to foot,N,,
2628,19-Aug-1990,1990.0,Unprovoked,USA,Texas,"Near Port Aransas, Nueces County",Wade fishing,M,18,Minor injury,N,13h30,
2629,22-Jul-1990,1990.0,Unprovoked,USA,Texas,"Mustang Island State Park, Nueces County",Wading,F,53,10-inch laceration to right foot,N,Evening,
2630,08-Jul-1990,1990.0,Unprovoked,USA,Florida,"Perdido Key near the Florida Panhandle, Escambia County",Surfing,M,17,Minor injury to left ankle & foot,N,,
2642,01-Apr-1990,1990.0,Unprovoked,USA,Hawaii,"Silver (Silva) Channels, Waialua, O'ahu",Sitting on surfboard,M,,"Ankle lacerated, lower left leg severely abraded ",N,<07h30,
2645,17-Feb-1990,1990.0,Unprovoked,USA,Hawaii,"Mokapu, Kane'ohe Marine Air Corps Station, O'ahu",Scuba diving & spearfishing,M,,Right arm severed  FATAL,Y,21h30,Two sharks seen in vicinity: 2.4 m & 4.25 m  [8' & 14'] TL
2646,05-Feb-1990,1990.0,Unprovoked,USA,Florida,"Monster Hole, Sebastian Inlet, Indian River County",Board sailing,M,33,Foot bitten,N,,
2647,12-Jan-1990,1990.0,Unprovoked,USA,California,"Montera Beach, San Mateo County",Surfing (sitting on his board),M,,"No injury, board bitten",N,,3 m to 4 m [10' to 13'] white shark
2648,1990,1990.0,Unprovoked,USA,Florida,"Pensacola, Escambia County",Surfing,M,17,,UNKNOWN,,
2649,19-Dec-1989,1989.0,Provoked,USA,Hawaii,"90 miles east of Hilo, Hawai'i",On board 51' fishing vessel One Ki,M,,Left leg & foot bitten  by shark brought onboard. PROVOKED INCIDENT,N,,
2654,12-Nov-1989,1989.0,Invalid,USA,Hawaii,"Ehukai Beach Park, Sunset Beach, O'ahu","Wading, knocked down & swept away by large waves",M,,Lower porton of body recovered 3 days later. Note: rare sighting of shark made at same beach on 11-5-1989 ,Unknown,18h00,Shark involvement prior to death was not confirmed
2658,14-Oct-1989,1989.0,Invalid,USA,Hawaii,"Kahe Point, O'ahu",Scuba diving,M,,"Disappeared 15 minutes into shallow dive. Decapitated body minus arm found by divers the following morning, then a large tiger shark appeared and consumed most of remains",Unknown,16h30,Shark involvement suspected but not confirmed
2659,11-Oct-1989,1989.0,Unprovoked,USA,Texas,Surfside Beach,Surfing,M,12,Foot & leg bitten,N,Evening,4' shark
2660,08-Oct-1989,1989.0,Invalid,USA,North Carolina,"Between Wrightsville Beach & Carolina Beach, New Hanover County",Diving,M,49,FATAL,Unknown,Late afternoon,Shark involvement suspected but not confirmed
2663,13-Sep-1989,1989.0,Provoked,USA,Florida,"Gulf of Mexico, 22 miles from Pensacola","Fishing, stepped on hooked shark's head",M,51,Bitten by hooked shark PROVOKED INCIDENT,N,Afternoon,150-lb shark
2664,10-Sep-1989,1989.0,Boat,USA,California,"Off Palos Verdes Estates, Los Angeles",Observing a shark feeding on a carcass of a humpback whale,,,No injury to occupants. Shark bit boat's swim step & repeatedly pushed the boat away whenever if came within 4 to 5 m of the whale carcass,N,,4 to 5 m white shark
2665,09-Sep-1989,1989.0,Unprovoked,USA,California,"Southeast Farallon Island, Farallon Islands",Hookah diving for abalone (descending),M,38,Leg bitten,N,12h30,4 m to 5 m [13' to 16.5']  white shark
2666,09-Sep-1989,1989.0,Unprovoked,USA,North Carolina,"Salvo, Dare County",Surfing,M,31,Non-fatal,N,,Sandbar shark
2667,03-Sep-1989,1989.0,Provoked,USA,California,24 km off Santa Catalina Island in the Channel Islands,Filming 5' blue shark,M,46,Hand  & both arms bitten   PROVOKED INCIDENT,N,,Blue Shark 
2669,22-Aug-1989,1989.0,Unprovoked,USA,Florida,"St Augustine, St Johns County",Swimming,M,21,3 wounds on left hand,N,,1.2 m [4'] shark
2677,14-Jul-1989,1989.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,M,16,5-inch gash on left leg,N,Afternoon,
2678,07-Jul-1989,1989.0,Unprovoked,USA,Texas,"Sargent Beach, Matagorda County",Playing ,F,9,Leg bitten,N,,4' shark
2679,29-Jun-1989,1989.0,Unprovoked,USA,Hawaii,"Anahola, Kaua'i",Fell off surfboard 20' from shore,M,,Foot & ankle severely bitten,N,,
2680,17-Jun-1989,1989.0,Unprovoked,USA,Louisiana,40 miles off Cocodrie,Spearfishing,M,45,Puncture wounds & lacerations to both legs,N,,1.8 m [6'] sandtiger shark
2685,23-Apr-1989,1989.0,Unprovoked,USA,Florida,"Loggerhead Park, Juno Beach, Palm Beach County",Swimming,M,19,Right calf bitten,N,,1.2 m [4'] shark
2686,12-Apr-1989,1989.0,Unprovoked,USA,Washington,"Pacific Beach, Grays Harbor County",Surfing (lying prone on his board),M,,Forearm bitten,N,10h45,White shark
2687,09-Apr-1989,1989.0,Boat,USA,California,"Monterey Bay, Monterey County",,,,No injury to occupants. Shark rammed boat 4 times,N,10h35,5 m to 7 m white shark
2688,03-Apr-1989,1989.0,Unprovoked,USA,Hawaii,"Ho'okipa Beach, Pa'ia, Maui",Paddling on surfboard,M,,Calf lacerated,N,,
2689,Apr-1989,1989.0,Unprovoked,USA,Hawaii,"Kekaha Beach, Kaua'i",Paddling on surfboard,M,,"Board rammed by shark, skegs knocked loose & 5' strip of fiberglass torn off, thigh scratched by sharks teeth",N,,
2695,26-Jan-1989,1989.0,Invalid,USA,California,"Latigo Point / Paradise Cove, west of Malibu, Los Angeles County",Kayaking,M,24,Reported by media as shark attack but forensic evidence indicated the kayaker died prior to any shark involvement,Unknown,10h15,Invalid
2696,26-Jan-1989,1989.0,Unprovoked,USA,California,"Latigo Point / Paradise Cove,west of Malibu, Los Angeles County",Kayaking,F,24,"FATAL, thigh bitten, hands lacerated  ",Y,10h15,5 m [16.5'] white shark
2697,20-Jan-1989,1989.0,Unprovoked,USA,Hawaii,"Waialua Beach, Moloka'i",Body boarding,M,10,Foot bitten,N,,1.8 m to 2.4 m [6' to 8'] hammerhead shark
2699,08-Jan-1989,1989.0,Unprovoked,USA,Hawaii,"Wailua, Kaua'i",Swimming in strong current with 3 others when he disappeared,M,,"Lower part of body found 6 days later, x-rays revealed teeth marks in femur & tibia",Y,,
2702,1989,1989.0,Unprovoked,USA,Virginia,"Coral Gardens Reef, 6 miles SSE of Chicoteague Inlet",Spearfishing using scuba & trailing a string of bleeding fish,M,,"No injury, shark grabbed his fish and chased him to the boat",N,,
2707,23-Oct-1988,1988.0,Unprovoked,USA,Oregon,"Indian Beach, Ecola State Park, just north of Cannon Beach, Clatsop County ",Surfing (sitting on his board),M,21,Leg bitten & femur fractured,N,17h30,5.5 m to 6 m [18' to 20']  white shark
2709,14-Oct-1988,1988.0,Unprovoked,USA,Florida,"Boca Raton, Palm Beach County",Surfing,M,15,Lacerations to left thigh,N,,6' shark
2710,11-Oct-1988,1988.0,Unprovoked,USA,Florida,"Fort Pierce, St. Lucie County ",Surfing,M,30,Left leg lacerated,N,X,1.2 m to 1.5 m [4' to 5'] shark
2711,10-Oct-1988,1988.0,Unprovoked,USA,Florida,"Playalinda, Brevard County",Surfing,M,23,Hand lacerated,N,18h30,1.2 m to 1.5 m [4' to 5'] shark
2713,Oct-1988,1988.0,Unprovoked,USA,Florida,"Sanibel Island, Lee County",Wading,F,23,Leg lacerated,N,,1.2 m [4'] shark
2714,28-Sep-1988,1988.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,Lacerations to foot,N,Afternoon,5' shark
2715,13-Sep-1988,1988.0,Unprovoked,USA,Florida,"Shell Island Panama City Beach, Bay County",Walking,F,,Dennis' hand injured; Ann's right forearm bitten,N,15h45,1.8 m [6'] shark
2716,13-Sep-1988,1988.0,Unprovoked,USA,Florida,"Shell Island Panama City Beach, Bay County",Snorkeling,M,38,"FATAL, thigh & hand lacerated",Y,15h00,3 m [10'] bull shark
2717,22-Aug-1988,1988.0,Provoked,USA,Louisiana,New Orleans,Diving in Sharkey's Reef restaurants aquarium,M,,Arm bitten by captive shark PROVOKED INCIDENT,N,,"Tiger shark, 1.8 m [6']"
2720,11-Aug-1988,1988.0,Unprovoked,USA,California,"Klamath River, Del Norte County",Surfing,M,27,Thigh bitten,N,09h30,2.4 m to 3 m [8' to 10'] white shark
2724,11-Jul-1988,1988.0,Unprovoked,USA,Florida,"Jensen Beach, Martin County",Swimming,F,15,Punctures & deep scratches to foot & buttock,N,10h30,
2725,04-Jul-1988,1988.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,M,37,Punctures to lower left leg & foot,N,Afternoon,
2729,16-Jun-1988,1988.0,Unprovoked,USA,North Carolina,"Ocracoke, Hyde County",Scuba diving,M,42,Survived,N,,Sandtiger shark
